                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 1.6074,                 1.0393,                 1.5157,                0.81795,                0.70206,                0.74593,                0.34628,                 1.7464,                 1.1738,                 1.6589,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.6696,                 1.0611,                 1.5117,                0.79837,                0.73438,                0.76827,                0.35494,                 1.7356,                 1.1092,                 1.6496,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.6558,                 1.0838,                 1.5141,                0.78127,                   0.75,                0.77539,                0.37299,                 1.7269,                 1.0816,                 1.6835,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.6676,                 1.0641,                 1.5533,                0.72935,                0.75799,                0.79608,                0.38663,                 1.7812,                  1.088,                  1.717,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.6332,                 1.0323,                 1.5372,                 0.7835,                0.73509,                0.81698,                0.40928,                 1.7243,                 1.0623,                  1.694,               0.000416,               0.000416,               0.000416
                     82,                 1.6451,                 1.0323,                 1.5075,                0.77623,                 0.8125,                 0.8287,                 0.4068,                 1.7128,                 1.0517,                  1.658,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.5719,                 1.0408,                 1.5516,                0.70341,                 0.8125,                0.79463,                0.36775,                 1.7663,                 1.0668,                 1.6543,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.6474,                 1.0891,                 1.5838,                0.70753,                0.82812,                 0.7822,                0.33418,                 1.7691,                 1.0946,                 1.6651,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.6111,                 1.0847,                 1.5599,                0.77919,                 0.6875,                0.76218,                0.34234,                 1.7359,                 1.0903,                 1.6587,              0.0003368,              0.0003368,              0.0003368
                     86,                  1.534,                0.99926,                 1.4668,                0.74986,                0.79688,                0.75566,                0.35233,                 1.7463,                 1.1032,                 1.6687,               0.000317,               0.000317,               0.000317
                     87,                  1.615,                 1.1109,                 1.5785,                0.80895,                   0.75,                0.78593,                0.37298,                 1.7097,                 1.0633,                 1.6447,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.6101,                  1.016,                 1.5444,                0.80608,                0.73438,                0.78374,                0.37914,                 1.6788,                 1.0209,                  1.647,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.6111,                 1.0202,                 1.4995,                0.78046,                0.76562,                0.81073,                0.36259,                 1.8219,                 1.0904,                 1.7017,              0.0002576,              0.0002576,              0.0002576
                     90,                  1.679,                 1.1018,                 1.5651,                0.83522,                0.76562,                0.80698,                0.37844,                 1.7739,                 1.0675,                 1.6513,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.5983,                  1.099,                 1.5567,                0.81089,                0.76562,                0.79936,                0.37314,                 1.7636,                 1.0432,                  1.674,               0.000218,               0.000218,               0.000218
                     92,                 1.6329,                 1.0484,                 1.5549,                0.83388,                0.70312,                0.80497,                0.34155,                 1.8084,                 1.1154,                  1.678,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.5723,                 1.0568,                 1.5138,                0.85346,                0.72805,                0.81337,                 0.3575,                 1.7784,                 1.1191,                 1.6579,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.5463,                 1.0045,                 1.5478,                0.84547,                0.73438,                 0.8044,                0.38756,                 1.7156,                 1.0623,                 1.6259,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.5157,                0.97384,                 1.4835,                0.84941,                0.76562,                0.81273,                0.40551,                 1.6849,                 1.0313,                 1.6111,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.4905,                0.96649,                 1.5547,                0.77707,                0.81699,                0.81381,                0.39929,                 1.6611,                 1.0473,                 1.5951,               0.000119,               0.000119,               0.000119
                     97,                 1.4901,                0.94827,                 1.5402,                0.73854,                0.83861,                0.79917,                0.38935,                 1.6595,                 1.0542,                 1.5978,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.4418,                0.95171,                 1.4668,                0.72325,                0.81674,                0.78366,                0.36967,                 1.6778,                 1.0747,                 1.6016,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                  1.537,                0.95127,                 1.5482,                0.73827,                 0.8125,                0.78768,                0.37126,                 1.6789,                 1.0754,                 1.6025,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                  1.445,                0.93461,                 1.4436,                 0.7395,                0.79842,                0.79122,                0.37023,                 1.6882,                 1.0767,                 1.6074,               3.98e-05,               3.98e-05,               3.98e-05
